POSIX,Digital Pins,Light State,Wheel Analog,Sync Pulse,Camera Pulse
1740614044508017,255,1,3.579,1,1
1740614044527624,255,1,3.579,1,1
1740614044547231,255,1,3.571,1,1
1740614044566838,255,1,3.572,1,1
1740614044586445,255,1,3.579,1,1
1740614044606052,255,1,3.579,1,1
1740614044625659,255,1,3.579,1,1
1740614044645266,255,1,3.560,1,1
1740614044664873,255,1,3.571,1,1
1740614044684480,255,1,3.569,1,1
1740614044704087,255,1,3.579,1,1
1740614044723694,255,1,3.579,1,1
1740614044743301,255,1,3.572,1,1
1740614044762908,255,1,3.572,1,1
1740614044782515,255,1,3.571,1,1
1740614044802122,255,1,3.579,1,1
1740614044821729,255,1,3.579,1,1
1740614044841336,255,1,3.570,1,1
1740614044860943,255,1,3.564,1,1
1740614044880550,255,1,3.570,1,1
1740614044900157,255,1,3.578,1,1
1740614044919764,255,1,3.580,1,1
1740614044939371,255,1,3.571,1,1
1740614044958978,255,1,3.571,1,1
1740614044978585,255,1,3.571,1,1
1740614044998192,255,1,3.578,1,1
1740614045017799,255,1,3.578,1,1
1740614045037406,255,1,3.571,1,1
1740614045057013,255,1,3.571,1,1
1740614045076620,255,1,3.567,1,1
1740614045096227,255,1,3.578,1,1
1740614045115834,255,1,3.579,1,1
1740614045135441,255,1,3.580,1,1
1740614045155048,255,1,3.571,1,1
1740614045174655,255,1,3.571,1,1
1740614045194262,255,1,3.578,1,1
1740614045213869,255,1,3.579,1,1
1740614045233476,255,1,3.578,1,1
1740614045253083,255,1,3.570,1,1
1740614045272690,255,1,3.571,1,1
1740614045292297,255,1,3.578,1,1
1740614045311904,255,1,3.570,1,1
1740614045331511,255,1,3.579,1,1
1740614045351118,255,1,3.571,1,1
1740614045370725,255,1,3.571,1,1
1740614045390332,255,1,3.578,1,1
1740614045409939,255,1,3.584,1,1
1740614045429546,255,1,3.578,1,1
1740614045449153,255,1,3.570,1,1
1740614045468760,255,1,3.570,1,1
1740614045488367,255,1,3.579,1,1
1740614045507974,255,1,3.577,1,1
1740614045527581,255,1,3.579,1,1
1740614045547188,255,1,3.571,1,1
1740614045566795,255,1,3.572,1,1
1740614045586402,255,1,3.577,1,1
1740614045606009,255,1,3.579,1,1
1740614045625616,255,1,3.579,1,1
1740614045645223,255,1,3.570,1,1
1740614045664830,255,1,3.571,1,1
1740614045684437,255,1,3.572,1,1
1740614045704044,255,1,3.579,1,1
1740614045723651,255,1,3.579,1,1
1740614045743258,255,1,3.568,1,1
1740614045762865,255,1,3.571,1,1
1740614045782472,255,1,3.570,1,1
1740614045802079,255,1,3.579,1,1
1740614045821686,255,1,3.579,1,1
1740614045841293,255,1,3.571,1,1
1740614045860900,255,1,3.570,1,1
1740614045880507,255,1,3.571,1,1
1740614045900114,255,1,3.578,1,1
1740614045919721,255,1,3.578,1,1
1740614045939328,255,1,3.572,1,1
1740614045958935,255,1,3.570,1,1
1740614045978542,255,1,3.571,1,1
1740614045998149,255,1,3.579,1,1
1740614046017756,255,1,3.578,1,1
1740614046037363,255,1,3.571,1,1
1740614046056970,255,1,3.570,1,1
1740614046076577,255,1,3.571,1,1
1740614046096184,255,1,3.579,1,1
1740614046115791,255,1,3.579,1,1
1740614046135398,255,1,3.579,1,1
1740614046155005,255,1,3.571,1,1
1740614046174612,255,1,3.570,1,1
1740614046194219,255,1,3.578,1,1
1740614046213826,255,1,3.577,1,1
1740614046233433,255,1,3.578,1,1
1740614046253040,255,1,3.572,1,1
1740614046272647,255,1,3.570,1,1
1740614046292254,255,1,3.579,1,1
1740614046311861,255,1,3.580,1,1
1740614046331468,255,1,3.579,1,1
1740614046351075,255,1,3.572,1,1
1740614046370682,255,1,3.572,1,1
1740614046390289,255,1,3.578,1,1
1740614046409896,255,1,3.575,1,1
1740614046429503,255,1,3.579,1,1
1740614046449110,255,1,3.571,1,1
1740614046468717,255,1,3.570,1,1
1740614046488324,255,1,3.579,1,1
1740614046507931,255,1,3.579,1,1
1740614046527538,255,1,3.579,1,1
1740614046547145,255,1,3.571,1,1
1740614046566752,255,1,3.576,1,1
1740614046586359,255,1,3.578,1,1
1740614046605966,255,1,3.578,1,1
1740614046625573,255,1,3.578,1,1
1740614046645180,255,1,3.571,1,1
1740614046664787,255,1,3.571,1,1
1740614046684394,255,1,3.571,1,1
1740614046704001,255,1,3.579,1,1
1740614046723608,255,1,3.580,1,1
1740614046743215,255,1,3.572,1,1
1740614046762822,255,1,3.572,1,1
1740614046782429,255,1,3.570,1,1
1740614046802036,255,1,3.578,1,1
1740614046821643,255,1,3.578,1,1
1740614046841250,255,1,3.570,1,1
1740614046860857,255,1,3.570,1,1
1740614046880464,255,1,3.571,1,1
1740614046900071,255,1,3.579,1,1
1740614046919678,255,1,3.579,1,1
1740614046939285,255,1,3.572,1,1
1740614046958892,255,1,3.571,1,1
1740614046978499,255,1,3.571,1,1
1740614046998106,255,1,3.579,1,1
1740614047017713,255,1,3.578,1,1
1740614047037320,255,1,3.571,1,1
1740614047056927,255,1,3.570,1,1
1740614047076534,255,1,3.570,1,1
1740614047096141,255,1,3.579,1,1
1740614047115748,255,1,3.579,1,1
1740614047135355,255,1,3.579,1,1
1740614047154962,255,1,3.571,1,1
1740614047174569,255,1,3.571,1,1
1740614047194176,255,1,3.579,1,1
1740614047213783,255,1,3.579,1,1
1740614047233390,255,1,3.579,1,1
1740614047252997,255,1,3.570,1,1
1740614047272604,255,1,3.571,1,1
